56,13
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,14
12,11
13,15
14,10
15,12
2,1
2,16
3,17
71,27
16,1
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
20,6
19,5
21,7
22,8
23,9
24,10
25,11
26,12
27,13
71,56
85,40
30,29
31,30
32,31
33,32
34,33
35,34
36,35
37,36
38,41
39,38
40,42
41,37
15,42
42,39
70,99
29,28
29,43
30,44
100,54
43,28
44,43
45,44
46,45
47,46
48,47
49,48
50,49
51,50
52,51
53,52
54,53
21,48
20,47
18,45
17,44
25,52
24,51
71,100
27,54
22,49
19,46
26,53
23,50
16,43
47,33
46,32
48,34
49,35
50,36
51,37
52,38
53,39
54,40
100,85
1,28
56,68
58,57
59,58
60,59
61,60
62,61
63,62
64,63
65,64
66,69
67,66
68,70
69,65
70,67
57,55
57,72
58,73
71,83
72,55
73,72
74,73
75,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,82
76,61
75,60
77,62
78,63
79,64
80,65
81,66
82,67
83,68
14,41
85,97
87,86
88,87
89,88
90,89
91,90
92,91
93,92
94,93
95,98
96,95
97,99
98,94
99,96
69,98
86,84
86,101
87,102
100,112
101,84
102,101
103,102
104,103
105,104
106,105
107,106
108,107
109,108
110,109
111,110
112,111
77,106
76,105
74,103
73,102
81,110
80,109
83,112
78,107
75,104
82,111
79,108
72,101
105,90
104,89
106,91
107,92
108,93
109,94
110,95
111,96
112,97
55,84
